"Source:","/home/rob/Documents/PlatformIO/Projects/OpenHVPS/Kicad files/OpenHVPS-5/OpenHVPS-5.kicad_sch"
"Date:","Sun 07 Feb 2021 04:32:00 PM JST"
"Tool:","Eeschema 5.99.0-unknown-65ca3da22d~101~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","67"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"25","1","R14","1M5","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/vishay-dale/CRCW08051M50FKEA/1176034"
"26","1","R15","392k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-07392KL/727905"
"27","1","R16","1M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RT0805FRE071ML/1079056"
"28","1","R17","499k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT499K/1760301"
"29","1","R18","1k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RT0805FRE071KL/1079055"
"30","1","R20","560K","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RT0805FRE07560KL/1079317"
"31","1","R21","47k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0747KL/727973"
"32","1","R22","20k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-6ENF2002V/111532"
"33","1","R23","3.16M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-073M16L/727809"
"34","1","U1","MAX6008AEUR+T","Reference_Voltage:MAX6035xxUR30","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/maxim-integrated/MAX6008AEUR-T/1519060"
"35","1","U2","74HC14","74xx:74HC14","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://www.digikey.com/en/products/detail/texas-instruments/CD74HC14M96/390309"
"36","1","U3","MAX4162","Amplifier_Operational:TLV2371DBV","Package_TO_SOT_SMD:SOT-23-5","https://www.digikey.com/en/products/detail/maxim-integrated/MAX4162EUK-T/470825"
"37","1","U4","CD14538BM","4xxx:4538","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://www.digikey.com/en/products/detail/texas-instruments/CD14538BM/1690553"
