"Source:","C:\Users\allan\OneDrive - Joho NZ\Safecast\1.2.1d\SafePulse\SafePulse.kicad_sch"
"Date:","2021.05.11 9:36:31 PM"
"Tool:","Eeschema (5.99.0-10336-g9846076676)"
"Generator:","C:\Program Files\KiCad\5.99\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","76"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey"
"29","1","R16","1M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RT0805FRE071ML/1079056","YAG3361CT-ND"
"30","1","R17","499k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT499K/1760301","RMCF0805FT499KCT-ND"
"31","1","R18","1k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCP0805FTD1K00/2240229","RNCP0805FTD1K00CT-ND"
"32","1","R20","118K","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-07118KL/727566","311-118KCRCT-ND"
"33","1","R21","47k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0747KL/727973","311-47.0KCRCT-ND"
"34","1","R22","20k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT20K0/1760314","RMCF0805FT20K0CT-ND"
"35","2","R23, R27","1.54M","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-071M54L/727500","311-1.54MCRCT-ND"
"36","1","R24","22k","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.bourns.com/docs/product-datasheets/CRxxxxx.pdf","CR0805-FX-2202ELFCT-ND"
"37","1","R26","0.1E","Device:R","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/susumu/KRL1220E-M-R100-F-T5/3737982","408-1556-1-ND"
"38","1","two_pinheader1","Conn_01x03_Male","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~",""
"39","1","U1","TS4061AILT-1.25","Reference_Voltage:MAX6035xxUR30","Package_TO_SOT_SMD:SOT-23","https://www.st.com/content/ccc/resource/technical/document/datasheet/99/0a/06/84/6d/21/40/45/DM00114435.pdf/files/DM00114435.pdf/jcr:content/translations/en.DM00114435.pdf","497-15222-1-ND"
"40","1","U2","74HC14","74xx:74HC14","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://www.digikey.com/en/products/detail/texas-instruments/CD74HC14M96/390309","296-9179-1-ND"
"41","1","U3","MAX9910EXK+T","Amplifier_Operational:MCP6L01Ux-xOT","Package_TO_SOT_SMD:SOT-353_SC-70-5","https://datasheets.maximintegrated.com/en/ds/MAX9910-MAX9913.pdf","MAX9910EXK+TCT-ND"
"42","1","U4","CD14538BM","4xxx:4538","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://www.digikey.com/en/products/detail/texas-instruments/CD14538BM/1690553","296-32849-5-ND"
